,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
104,14,29.372,1:44.465,14,33.604,1:44.863,44,36.260,1:41.553,9,39.498,1:46.512,9,43.524,1:44.902
105,7,30.005,1:44.058,27,35.305,1:43.442,14,37.266,1:44.530,14,40.446,1:44.061,14,43.944,1:44.374
106,27,32.494,1:43.248,44,35.575,2:00.961,27,38.528,1:44.091,27,41.383,1:43.736,27,44.674,1:44.167
107,33,38.340,2:01.858,33,40.129,1:42.420,33,41.623,1:42.362,33,43.586,1:42.844,33,45.803,1:43.093
108,21,41.360,1:42.746,21,43.562,1:42.833,21,45.633,1:42.939,21,48.150,1:43.398,21,50.640,1:43.366
109,94,42.007,1:45.616,94,45.921,1:44.545,94,49.175,1:44.122,94,52.465,1:44.171,94,55.904,1:44.315
110,30,48.299,1:44.826,30,52.579,1:44.911,20,56.463,1:42.624,20,59.115,1:43.533,20,61.783,1:43.544
111,20,53.027,2:01.962,20,54.707,1:42.311,30,57.270,1:45.559,88,63.221,1:44.021,88,66.269,1:43.924
112,88,53.789,1:43.733,88,57.050,1:43.892,88,60.081,1:43.899,8,63.642,1:43.433,8,66.569,1:43.803
113,8,56.889,2:03.959,8,59.080,1:42.822,8,61.090,1:42.878,30,PIT,1:50.682,12,75.023,1:43.547
114,12,65.496,2:03.445,12,67.715,1:42.850,12,69.972,1:43.125,12,72.352,1:43.261,30,86.808,2:00.613
115,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
116,6,,1:40.580,6,,1:40.823,6,,1:41.154,6,,1:41.357,6,,1:41.564
117,26,18.734,1:42.609,26,20.413,1:42.502,26,21.925,1:42.666,26,23.333,1:42.765,88,1 LAP,2:03.812
118,5,19.805,1:42.383,5,21.392,1:42.410,5,23.254,1:43.016,5,24.597,1:42.700,26,24.660,1:42.891
119,19,30.988,1:42.651,19,33.026,1:42.861,19,34.899,1:43.027,19,36.264,1:42.722,5,25.971,1:42.938
120,11,35.462,1:44.527,77,38.693,1:43.260,77,40.323,1:42.784,77,41.579,1:42.613,19,37.719,1:43.019
121,77,36.256,1:45.064,11,39.259,1:44.620,3,42.825,1:43.910,3,44.252,1:42.784,3,45.394,1:42.706
122,22,36.838,1:46.387,3,40.069,1:43.250,55,45.013,1:43.822,55,46.949,1:43.293,77,PIT,1:46.621
123,3,37.642,1:42.538,55,42.345,1:43.445,7,45.737,1:43.744,7,47.612,1:43.232,55,48.813,1:43.428
124,55,39.723,1:42.691,7,43.147,1:43.424,44,46.283,1:43.858,44,48.599,1:43.673,7,49.436,1:43.388
125,7,40.546,1:42.302,44,43.579,1:43.007,11,PIT,1:49.745,33,55.262,1:43.095,44,PIT,1:47.764
126,44,41.395,1:42.512,22,PIT,1:52.188,33,53.524,1:43.375,14,57.200,1:44.538,33,56.878,1:43.180
127,14,47.922,1:44.558,14,50.768,1:43.669,14,54.019,1:44.405,21,61.989,1:43.792,14,59.460,1:43.824
128,33,48.878,1:43.655,33,51.303,1:43.248,21,59.554,1:43.947,11,65.857,1:59.364,21,63.709,1:43.284
129,9,49.480,1:46.536,9,53.735,1:45.078,9,PIT,1:50.299,22,68.366,1:42.499,11,66.139,1:41.846
130,21,53.980,1:43.920,21,56.761,1:43.604,22,67.224,2:00.175,20,75.074,1:44.560,22,69.699,1:42.897
131,27,PIT,1:50.682,20,68.563,1:44.377,20,71.871,1:44.462,8,81.242,1:44.372,20,78.241,1:44.731
132,94,59.711,1:44.387,94,PIT,1:49.959,8,78.227,1:44.975,27,83.259,1:42.614,8,84.456,1:44.778
133,20,65.009,1:43.806,88,73.766,1:44.423,27,82.002,1:42.310,9,83.502,2:01.979,27,84.861,1:43.166
134,88,70.166,1:44.477,8,74.406,1:44.340,88,PIT,1:50.011,12,87.721,1:44.326,9,85.530,1:43.592
135,8,70.889,1:44.900,27,80.846,2:06.893,12,84.752,1:44.328,94,91.230,1:42.331,12,90.050,1:43.893
136,12,78.045,1:43.602,12,81.578,1:44.356,94,90.256,2:02.563,30,95.172,1:43.833,94,92.306,1:42.640
137,30,88.460,1:42.232,30,90.455,1:42.818,30,92.696,1:43.395,,,,30,97.439,1:43.831
138,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO GAP,,TIME
139,6,,1:42.179,6,,1:41.878,6,,1:42.294,6,,1:42.045,6,,1:42.415
140,88,1 LAP,1:42.444,88,1 LAP,1:42.193,30,1 LAP,1:45.891,30,1 LAP,1:44.915,30 1 LAP,,1:44.752
141,26,25.701,1:43.220,26,26.679,1:42.856,88,1 LAP,1:42.755,88,1 LAP,1:43.034,88 1 LAP,,1:43.537
142,5,26.792,1:43.000,5,28.047,1:43.133,26,27.488,1:43.103,26,28.694,1:43.251,8 1 LAP,,2:00.473
143,19,PIT,1:47.755,3,46.307,1:42.390,5,29.218,1:43.465,5,30.499,1:43.326,26 PIT,,1:48.195
144,3,45.795,1:42.580,55,51.821,1:43.621,3,46.571,1:42.558,3,47.033,1:42.507,5 PIT,,1:48.202
145,55,50.078,1:43.444,7,52.268,1:43.523,7,53.501,1:43.527,7,53.805,1:42.349,3 47.082,,1:42.464
146,7,50.623,1:43.366,33,58.763,1:42.892,55,PIT,1:48.713,33,60.199,1:42.841,7 53.533,,1:42.143
147,33,57.749,1:43.050,19,62.153,2:00.736,33,59.403,1:42.934,19,61.659,1:41.815,33 60.800,,1:43.016
148,14,60.794,1:43.513,77,63.827,1:41.589,19,61.889,1:42.030,77,64.000,1:42.328,19 61.469,,1:42.225
149,77,64.116,1:59.659,11,67.307,1:42.705,77,63.717,1:42.184,44,68.060,1:41.345,77 63.745,,1:42.160
150,21,65.751,1:44.221,14,PIT,1:48.515,11,67.521,1:42.508,11,68.694,1:43.218,44 67.131,,1:41.486
151,11,66.480,1:42.520,21,68.980,1:45.107,44,68.760,1:41.495,22,73.256,1:42.876,11 69.208,,1:42.929
152,22,70.214,1:42.694,44,69.559,1:40.662,21,71.164,1:44.478,21,PIT,1:48.419,22 73.300,,1:42.459
153,44,70.775,1:58.155,22,71.734,1:43.398,22,72.425,1:42.985,55,78.416,2:02.221,55 77.486,,1:41.485
154,20,80.717,1:44.655,20,83.775,1:44.936,14,86.252,2:01.115,14,87.040,1:42.833,14 86.929,,1:42.304
155,27,85.600,1:42.918,27,86.507,1:42.785,20,87.217,1:45.736,27,90.249,1:44.284,27 90.807,,1:42.973
156,9,87.665,1:44.314,9,89.409,1:43.622,27,88.010,1:43.797,20,91.178,1:46.006,9 93.268,,1:43.578
157,8,88.197,1:45.920,8,91.889,1:45.570,9,90.639,1:43.524,9,92.105,1:43.511,21 95.014,,1:59.891
158,12,91.945,1:44.074,12,93.999,1:43.932,94,96.032,1:44.005,94,97.101,1:43.114,94 98.249,,1:43.563
159,94,93.134,1:43.007,94,94.321,1:43.065,12,97.356,1:45.651,12,99.633,1:44.322,20 PIT,,1:51.879
160,30,99.253,1:43.993,,,,8,PIT,1:50.695,,,,12101.489,,1:44.271
161,NO GAP,,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
162,6 PIT,,1:47.773,6,,2:00.323,6,,1:40.418,6,,1:41.623,6,,1:41.062
163,30 1 LAP,,1:44.978,5,26.211,1:40.610,5,26.964,1:41.171,30,PIT,1:52.588,5,27.303,1:41.712
164,88 1 LAP,,1:44.851,26,28.417,1:41.854,26,29.545,1:41.546,5,26.653,1:41.312,30,1 LAP,2:02.259
165,8 1 LAP,,1:40.653,3,PIT,1:47.209,33,41.887,1:42.965,26,29.699,1:41.777,26,30.501,1:41.864
166,3 41.937,,1:42.628,7,PIT,1:48.206,19,42.372,1:43.027,19,44.199,1:43.450,19,45.731,1:42.594
167,5 45.924,,1:57.411,33,39.340,1:43.412,77,43.242,1:42.543,77,44.878,1:43.259,44,46.637,1:42.462
168,26 46.886,,2:00.185,19,39.763,1:43.346,44,44.057,1:41.781,44,45.237,1:42.803,3,47.527,1:42.121
169,7 49.278,,1:43.518,77,41.117,1:42.947,3,47.062,1:58.657,3,46.468,1:41.029,77,47.973,1:44.157
