,NO,GAP,TIME,LAP,race_id
691,77,63.717,1:42.184,33,8
692,11,67.521,1:42.508,33,8
693,44,68.760,1:41.495,33,8
694,21,71.164,1:44.478,33,8
695,22,72.425,1:42.985,33,8
696,14,86.252,2:01.115,33,8
697,20,87.217,1:45.736,33,8
698,27,88.010,1:43.797,33,8
699,9,90.639,1:43.524,33,8
700,94,96.032,1:44.005,33,8
701,12,97.356,1:45.651,33,8
702,8,PIT,1:50.695,33,8
703,6,0,1:42.045,34,8
704,30,1 LAP,1:44.915,34,8
705,88,1 LAP,1:43.034,34,8
706,26,28.694,1:43.251,34,8
707,5,30.499,1:43.326,34,8
708,3,47.033,1:42.507,34,8
709,7,53.805,1:42.349,34,8
710,33,60.199,1:42.841,34,8
711,19,61.659,1:41.815,34,8
712,77,64.000,1:42.328,34,8
713,44,68.060,1:41.345,34,8
714,11,68.694,1:43.218,34,8
715,22,73.256,1:42.876,34,8
716,21,PIT,1:48.419,34,8
717,55,78.416,2:02.221,34,8
718,14,87.040,1:42.833,34,8
719,27,90.249,1:44.284,34,8
720,20,91.178,1:46.006,34,8
721,9,92.105,1:43.511,34,8
722,94,97.101,1:43.114,34,8
723,12,99.633,1:44.322,34,8
724,6,0,1:42.415,35,8
725,30,1 LAP,1:44.752,35,8
726,88,1 LAP,1:43.537,35,8
727,8,1 LAP,2:00.473,35,8
728,26,PIT,1:48.195,35,8
729,5,PIT,1:48.202,35,8
730,20,PIT,1:51.879,35,8
731,6,PIT,1:47.773,36,8
732,30,1 LAP,1:44.978,36,8
733,88,1 LAP,1:44.851,36,8
734,8,1 LAP,1:40.653,36,8
735,6,0,2:00.323,37,8
736,5,26.211,1:40.610,37,8
737,26,28.417,1:41.854,37,8
738,3,PIT,1:47.209,37,8
739,7,PIT,1:48.206,37,8
740,33,39.340,1:43.412,37,8
741,19,39.763,1:43.346,37,8
742,77,41.117,1:42.947,37,8
743,44,42.694,1:41.982,37,8
744,11,46.842,1:42.896,37,8
745,22,51.227,1:43.200,37,8
746,55,53.784,1:42.454,37,8
747,14,63.848,1:42.789,37,8
748,27,68.974,1:43.184,37,8
749,21,71.014,1:41.825,37,8
750,9,72.965,1:44.309,37,8
751,94,77.236,1:43.644,37,8
752,12,81.736,1:44.434,37,8
753,88,91.835,1:43.883,37,8
754,8,92.932,1:42.599,37,8
755,20,95.403,1:42.386,37,8
756,30,96.700,1:47.165,37,8
757,6,0,1:40.418,38,8
758,5,26.964,1:41.171,38,8
759,26,29.545,1:41.546,38,8
760,33,41.887,1:42.965,38,8
761,19,42.372,1:43.027,38,8
762,77,43.242,1:42.543,38,8
763,44,44.057,1:41.781,38,8
764,3,47.062,1:58.657,38,8
765,11,49.997,1:43.573,38,8
766,22,53.911,1:43.102,38,8
767,7,55.171,1:58.428,38,8
768,55,55.998,1:42.632,38,8
769,14,65.854,1:42.424,38,8
770,27,71.448,1:42.892,38,8
771,21,72.635,1:42.039,38,8
772,9,76.015,1:43.468,38,8
773,94,80.327,1:43.509,38,8
774,12,85.227,1:43.909,38,8
